global_step,epoch,eval_loss,train_loss
353,1,-1.0,4.55055046081543
706,2,-1.0,2.8844988346099854
1059,3,-1.0,2.7265710830688477
1412,4,-1.0,2.637150526046753
1765,5,-1.0,2.5717544555664062
2118,6,-1.0,2.489067316055298
2471,7,-1.0,2.308560371398926
2824,8,-1.0,1.7088892459869385
3177,9,-1.0,0.5529900193214417
3530,10,-1.0,0.05233880132436752
3883,11,-1.0,0.0051262713968753815
4236,12,-1.0,0.0021180198527872562
4589,13,-1.0,0.02144862711429596
4942,14,-1.0,0.014407197013497353
5295,15,-1.0,0.011209376156330109
5648,16,-1.0,0.010351281613111496
6001,17,-1.0,0.010305839590728283
6354,18,-1.0,0.008020326495170593
6707,19,-1.0,0.0107728885486722
7060,20,-1.0,0.008984772488474846
7413,21,-1.0,0.006555236876010895
7766,22,-1.0,0.008522162213921547
8119,23,-1.0,0.008447244763374329
8472,24,-1.0,0.008040099404752254
8825,25,-1.0,0.0066792950965464115
9178,26,-1.0,0.006966720800846815
9531,27,-1.0,0.007494990713894367
9884,28,-1.0,0.006482555530965328
10000,-1,0.008909063413739204,-1.0
10237,29,-1.0,0.00713954446837306
10590,30,-1.0,0.0066558499820530415
10943,31,-1.0,0.006269423756748438
11296,32,-1.0,0.005124365445226431
11649,33,-1.0,0.005268536973744631
12002,34,-1.0,0.006574299652129412
12355,35,-1.0,0.005387378856539726
12708,36,-1.0,0.00585000729188323
13061,37,-1.0,0.002097048331052065
13414,38,-1.0,0.007960943505167961
13767,39,-1.0,0.00423091696575284
14120,40,-1.0,0.004225435666739941
14473,41,-1.0,0.007543740328401327
